ANOMES,ANOEXERCICIO,MES,NOMEORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA,CNPJORGAO
201301,2013,Jan,"ESTADO DE GOIAS",N/A,N/A,2.996141665E7,"ALIENACAO DE BENS",56390.0,
201301,2013,Jan,"FUNDO CAP. SERV. E MOD. - FUNCAM",Direta,Executivo,133333.33000000002,"ALIENACAO DE BENS",,13301077000143
201301,2013,Jan,"FUNDO EST. DE SEGURANCA PUBLICA-FUNESP",Direta,Executivo,250000.0,"ALIENACAO DE BENS",,2658753000114
201301,2013,Jan,FUNEBOM,Indireta,Executivo,8333.33,"ALIENACAO DE BENS",,14786724000117
201301,2013,Jan,EMATER,Indireta,Executivo,166.67000000000002,"ALIENACAO DE BENS IMOVEIS",,13232306000115
201301,2013,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",N/A,N/A,1250000.0,"ALIENACAO DE BENS IMOVEIS",,
201301,2013,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",N/A,Executivo,2.820825E7,"ALIENACAO DE BENS IMOVEIS",56390.0,1409655000180
201301,2013,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,250.0,"ALIENACAO DE BENS IMOVEIS",,
201301,2013,Jan,"UNIVERSIDADE ESTADUAL DE GOIAS",Indireta,Executivo,83.33,"ALIENACAO DE BENS IMOVEIS",,1112580000171
201301,2013,Jan,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",Indireta,Executivo,83.33,"ALIENACAO DE BENS MOVEIS",,3521741000106
201301,2013,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",N/A,N/A,10916.66,"ALIENACAO DE BENS MOVEIS",,
201301,2013,Jan,"FUNDO EST. DE SEGURANÇA PÚBLICA-FUNESP",Direta,Executivo,500000.0,"ALIENACAO DE BENS MOVEIS",,2658753000114
201301,2013,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",N/A,N/A,1786666.6600000001,"ALIENACAO DE IMOVEIS RURAIS",0.0,
