ANOMES,ANOEXERCICIO,MES,NOMEORGAO,CNPJORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA,RECEITAREALIZADA
201401,2014,Jan,"FUNDO SOCIAL DE LOTERIA",4354889000166,Direta,Executivo,2.984041667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",
201401,2014,Jan,"PROTEGE GOIAS",6084202000145,Direta,Executivo,2.984041667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA",2.671091246E7
201401,2014,Jan,"ESTADO DE GOIAS",,N/A,N/A,3.4422E7,"ALIENACAO DE BENS",
201401,2014,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,251916.66,"ALIENACAO DE BENS",
201401,2014,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,3.4421E7,"ALIENACAO DE BENS",
201401,2014,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,166.66,"ALIENACAO DE BENS IMOVEIS",
201401,2014,Jan,"UNIVERSIDADE ESTADUAL DE GOIAS",1112580000171,Indireta,Executivo,83.33,"ALIENACAO DE BENS IMOVEIS",
201401,2014,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,250.0,"ALIENACAO DE BENS MOVEIS",
201401,2014,Jan,"FUNDO CAP. SERV. E MOD. - FUNCAM",13301077000143,Direta,Executivo,238833.33000000002,"ALIENACAO DE BENS MOVEIS",
201401,2014,Jan,"FUNDO ESTADUAL DE DESENVOL.DO NORDESTE",4916251000171,Direta,Executivo,238833.33000000002,"ALIENACAO DE BENS MOVEIS",
201401,2014,Jan,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",3280530000129,Direta,Executivo,16333.32,"ALIENACAO DE IMOVEIS RURAIS",
201401,2014,Jan,"ESTADO DE GOIAS",,N/A,N/A,2.325416667E7,"ALIENACAO DE IMOVEIS URBANOS",0.0
201401,2014,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,2.325416667E7,"ALIENACAO DE IMOVEIS URBANOS",0.0
201401,2014,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,2.324991667E7,"ALIENACAO DE IMOVEIS URBANOS",0.0
201401,2014,Jan,EMATER,13232306000115,Indireta,Executivo,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",
201401,2014,Jan,"ESTADO DE GOIAS",,N/A,N/A,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",0.0
201401,2014,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",0.0
201401,2014,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,83.33,"ALIENACAO DE OUTROS BENS IMOVEIS",
201401,2014,Jan,"ESTADO DE GOIAS",,N/A,N/A,493833.32,"ALIENACAO DE OUTROS BENS MOVEIS",0.0
201401,2014,Jan,"FUNDO DE FOM. AO DESENV. ECON.E SOCIAL",3280530000129,Direta,Executivo,,"ALIENACAO DE OUTROS BENS MOVEIS",0.0
201401,2014,Jan,"FUNDO DE MODERNIZACAO DO MINIST PUBLICO",7004223000176,Direta,N/A,2000.0,"ALIENACAO DE OUTROS BENS MOVEIS",
201401,2014,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,4166.67,"ALIENAÇÃO DE IMÓVEIS URBANOS",
201401,2014,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,2.324991667E7,"ALIENAÇÃO DE IMÓVEIS URBANOS",0.0
201401,2014,Jan,"ESTADO DE GOIAS",,N/A,N/A,83.33,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",0.0
201401,2014,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,83.33,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS",0.0
201401,2014,Jan,"AG.GOIANA DE DESENV. RURAL E FUNDIARIO",3521741000106,Indireta,Executivo,2833.34,ALUGUEIS,
201401,2014,Jan,"AGENCIA GOIANA DE ESPORTE E LAZER",5470294000139,Indireta,Executivo,,ALUGUEIS,67996.4
201401,2014,Jan,"DEP. EST. DE TRÂNSITO DE GOIÁS- DETRAN",2872448000120,Indireta,Executivo,16166.66,ALUGUEIS,16901.44
201401,2014,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,54833.340000000004,ALUGUEIS,26056.38
201401,2014,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,391333.32,ALUGUEIS,339717.98
201401,2014,Jan,"ESTADO DE GOIAS - PODER LEGISLATIVO",,N/A,N/A,6166.66,ALUGUEIS,16915.54
201401,2014,Jan,"FUNDO DE MODERNIZACAO DO MINIST PUBLICO",7004223000176,Direta,N/A,4833.34,ALUGUEIS,3051.82
201401,2014,Jan,"FUNDO ESTADUAL DE CIENCIA E TECNOLOGIA",743928000166,Direta,Executivo,188833.34,ALUGUEIS,
