ANOMES,ANOEXERCICIO,MES,NOMEORGAO,CNPJORGAO,TIPOADMINISTRACAO,TIPOPODER,RECEITAPREVISTAATUALIZADA,NATUREZARECEITA
201501,2015,Jan,"PROTEGE GOIAS",6084202000145,Direta,Executivo,3.418241667E7,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À POBREZA"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,6916666.67,"ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE À PROBREZA"
201501,2015,Jan,AGRODEFESA,,Indireta,Executivo,17250.0,"ALIENAÇÃO DE BENS"
201501,2015,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,2.082983333E7,"ALIENAÇÃO DE BENS"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,2.084733333E7,"ALIENAÇÃO DE BENS"
201501,2015,Jan,TRANSURB,2102168000133,Indireta,Executivo,83.33,"ALIENAÇÃO DE BENS"
201501,2015,Jan,EMATER,,Indireta,Executivo,83.33,"ALIENAÇÃO DE BENS IMÓVEIS"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,2.082899999E7,"ALIENAÇÃO DE BENS IMÓVEIS"
201501,2015,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,2.082883333E7,"ALIENAÇÃO DE BENS IMÓVEIS"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,7501666.66,"ALIENAÇÃO DE IMÓVEIS RURAIS"
201501,2015,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,166.66,"ALIENAÇÃO DE IMÓVEIS URBANOS"
201501,2015,Jan,TRANSURB,2102168000133,Indireta,Executivo,166.66,"ALIENAÇÃO DE IMÓVEIS URBANOS"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,166.66,"ALIENAÇÃO DE OUTROS BENS IMÓVEIS"
201501,2015,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,2000.0,"ALIENAÇÃO DE OUTROS BENS MÓVEIS"
201501,2015,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,2000.0,"ALIENAÇÃO DE OUTROS BENS MÓVEIS"
201501,2015,Jan,"AGÊNCIA GOIANA DE TRANSPORTES E OBRAS",,Indireta,Executivo,1333.34,ALUGUÉIS
201501,2015,Jan,"ESTADO DE GOIAS - PODER JUDICIARIO",,N/A,N/A,122500.0,ALUGUÉIS
201501,2015,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,40166.66,ALUGUÉIS
201501,2015,Jan,"FUNDO DE REAP. E APERF. DA PM",,Direta,Executivo,1666.66,ALUGUÉIS
201501,2015,Jan,"FUNDO PENITENCIÁRIO ESTADUAL - FUNPES",,Direta,Executivo,21000.0,ALUGUÉIS
201501,2015,Jan,"UNIVERSIDADE ESTADUAL DE GOIÁS - UEG  ",,Indireta,Executivo,11500.0,ALUGUÉIS
201501,2015,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,221333.33000000002,"AMORTIZAÇÃO DE EMPRÉSTIMOS"
201501,2015,Jan,"ESTADO DE GOIAS - PODER EXECUTIVO",,N/A,N/A,221333.33000000002,"AMORTIZAÇÃO DE EMPRÉSTIMOS"
201501,2015,Jan,"FUNDO DE FINANC. DO BANCO DO POVO GOIÁS",17850814000118,Direta,Executivo,5833.33,"AMORTIZAÇÃO DE EMPRÉSTIMOS"
201501,2015,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,1000.0,"AMORTIZAÇÃO DE EMPRÉSTIMOS - FUNMINERAL"
201501,2015,Jan,"FUNDO ESP.DE GERACAO DE EMPREG.E RENDA",3198567000102,Direta,Executivo,5833.33,"AMORTIZAÇÃO DE EMPRÉSTIMOS DIVERSOS"
201501,2015,Jan,"FUNDO ESPECIAL DE SAUDE - FUNESA",544963000156,Direta,Executivo,2250000.0,"ASSISTÊNCIA FARMACÊUTICA"
201501,2015,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,12000.0,"ATENÇÃO BÁSICA"
201501,2015,Jan,"FUNDO ESTADUAL DE SAUDE- FES",544963000156,Direta,Executivo,12000.0,"ATENÇÃO BÁSICA"
201501,2015,Jan,"FUNDO ESTADUAL DE SAUDE- FES",544963000156,Direta,Executivo,4833333.33,"ATENÇÃO DE MAC AMBULATORIAL E HOSPITALAR"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,1750.0,"ATUALIZAÇÃO MONETÁRIA DA DÍVIDA ATIVA NÕA-TRIBUTÁRIA DE OUTRAS RECEITAS - PRINCIPAL"
201501,2015,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,1750.0,"ATUALIZAÇÃO MONETÁRIA DA DÍVIDA ATIVA NÕA-TRIBUTÁRIA DE OUTRAS RECEITAS - PRINCIPAL"
201501,2015,Jan,"FUNDO ESP. DE REAPARELHAMENTO DO T.C.M.",6881263000133,Direta,Legislativo,1750.0,"ATUALIZAÇÃO MONETÁRIA DA DÍVIDA ATIVA NÕA-TRIBUTÁRIA DE OUTRAS RECEITAS - PRINCIPAL"
201501,2015,Jan,"ESTADO DE GOIAS - ADMINISTRACAO DIRETA",,N/A,N/A,83.33,"ATUALIZAÇÃO MONETÁRIA DE ORIGEM NÃO TRIBUTÁRIA"
201501,2015,Jan,"ESTADO DE GOIAS - TESOURO ESTADUAL",1409655000180,N/A,Executivo,83.33,"ATUALIZAÇÃO MONETÁRIA DE ORIGEM NÃO TRIBUTÁRIA"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,1083.33,"ATUALIZAÇÃO MONETÁRIA DE OUTROS TRIBUTOS DA DÍVIDA ATIVA - PRINCIPAL"
201501,2015,Jan,"ESTADO DE GOIAS",,N/A,N/A,44333.340000000004,"COMERCIALIZAÇÃO DE OUTROS PRODUTOS VEGETAIS"
201501,2015,Jan,"ESTADO DE GOIAS-ADMINISTRACAO INDIRETA",,N/A,N/A,35833.340000000004,"COMERCIALIZAÇÃO DE OUTROS PRODUTOS VEGETAIS"
201501,2015,Jan,FUNDER,,Direta,Executivo,4416.67,"CONCESSÕES E PERMISSÕES DO FUNDER"
201501,2015,Jan,"ESTADO DE GOIAS - FUNDOS ESPECIAIS",,N/A,N/A,50083.33,"CONTRIBUICAO PATRONAL DE SERVIDOR ATIVO CIVIL PARA O REGIME PRÓPRIO"
201501,2015,Jan,"FUNDO FIN. PREV. SERVIDOR",18867930000102,Indireta,Executivo,50000.0,"CONTRIBUICAO PATRONAL DE SERVIDOR ATIVO CIVIL PARA O REGIME PRÓPRIO"
201501,2015,Jan,"GOIÁS PREVIDÊNCIA",11991625000189,Indireta,Executivo,83.33,"CONTRIBUICAO PATRONAL DE SERVIDOR ATIVO CIVIL PARA O REGIME PRÓPRIO"
